variable	Group
a1_3_1	Miner
a1_3_2	Miner
a1_3_3	Miner
a2_1_1	Miner
a2_1_2	Miner
a2_1_3	Miner
a2_3_1_1	Miner
a2_3_1_2	Miner
a2_3_1_3	Miner
a2_3_3_1	Miner
a2_3_3_2	Miner
a2_3_3_3	Miner
a2_5_1	Miner
a2_5_2	Miner
a2_5_3	Miner
a3_1_1	Miner
a3_1_2	Miner
a3_1_3	Miner
a3_2_1	Miner
a3_2_2	Miner
a3_2_3	Miner
a3_4_1	Miner
a3_4_2	Miner
a3_4_3	Miner
a3_5_1	Miner
a3_5_2	Miner
a3_5_3	Miner
a8_1_1	Miner
a8_1_2	Miner
a8_1_3	Miner
a9_1_1	Miner
a9_1_2	Miner
a9_1_3	Miner
a12_2_1	Miner
a12_2_2	Miner
a12_2_3	Miner
